X,Y,Tip,Dimenzija,Tlak,Napomena,Slika,Datum,Ulica,k.b.,Mjesto,Podaci,Oznaka,icon_url
14.8256361578644,45.3213694731338,PH,75mm,,,,,,,,,,./0.png
14.827576303276,45.3208674615891,PH,75mm,,,,,,,,,,./0.png
14.8289938217401,45.3204531973814,PH,75mm,,,,,,,,,,./0.png
14.8332842881929,45.3191968070853,PH,75mm,,,,,,,,,,./0.png
14.8354647111615,45.3184593526,PH,75mm,,,,,,,,,,./0.png
14.8371531275894,45.3178569425887,PH,75mm,,,,,,,,,,./0.png
14.8026758765174,45.3935270410662,PH,75mm,,,,,,,,,,./0.png
14.8020444056732,45.3926647893533,PH,75mm,,,,,,,,,,./0.png
14.9771029184252,45.3798016627713,PH,75mm,,,,,,,,,,./0.png
14.9875810895337,45.376888497911,PH,75mm,,,,,,,,,,./0.png
14.9906399308606,45.3766074129355,PH,75mm,,,,,,,,,,./0.png
14.996745166639,45.3757737029232,PH,75mm,,,,,,,,,,./0.png
14.9964555944753,45.3757322082899,PH,75mm,,,,,,,,,,./0.png
14.9986886818479,45.3759478821064,PH,75mm,,,,,,,,,,./0.png
15.0006832634512,45.3756927988862,PH,75mm,,,,,,,,,,./0.png
15.0021379052481,45.3758188643687,PH,75mm,,,,,,,,,,./0.png
15.0086035315666,45.3783127240963,PH,75mm,,,,,,,,,,./0.png
15.0062714705132,45.3776749577366,PH,75mm,,,,,,,,,,./0.png
15.0049882960514,45.3766890499964,PH,75mm,,,,,,,,,,./0.png
15.0070625176974,45.3754433856737,PH,75mm,,,,,,,,,,./0.png
15.0116815346597,45.3771701369392,PH,75mm,,,,,,,,,,./0.png
14.8515262680356,45.3313478678268,PH,75mm,,,,,,,,,,./0.png
14.8528560667699,45.3291937066074,PH,75mm,,,,,,,,,,./0.png
14.8516170373068,45.315531166225,PH,75mm,,,,,,,,,,./0.png
14.8501080632033,45.3156067815512,PH,75mm,,,,,,,,,,./0.png
14.8480108738954,45.3157675691752,,,,,,,,,,,,./0.png
14.8227058651569,45.3224528389452,,,,,,,,,,,,./0.png
14.7171151242981,45.3095477002541,PH,75mm,,,,,,,,,,./0.png
14.7177392646778,45.3099924198031,PH,75mm,,,,,,,,,,./0.png
14.7189905874989,45.3111496570048,PH,75mm,,,,,,,,,,./0.png
14.7149026146928,45.3052432815977,PH,75mm,,,,,,,,,,./0.png
14.9047217516209,45.4312565868688,PH,75mm,,,,,,,,,,./0.png
14.9034243731937,45.4289827644937,PH,75mm,,,,,,,,,,./0.png
14.9071499071627,45.4287686641213,PH,75mm,,,,,,,,,,./0.png
14.9053259639996,45.4285963869343,PH,75mm,,,,,,,,,,./0.png
14.9055319485878,45.4327853285354,PH,75mm,,,,,,,,,,./0.png
14.9049715241306,45.4342534394017,PH,75mm,,,,,,,,,,./0.png
14.9013960646817,45.4362377764671,PH,75mm,,,,,,,,,,./0.png
14.9035739862641,45.4355933392531,PH,75mm,,,,,,,,,,./0.png
14.9023517973974,45.436897196214,PH,75mm,,,,,,,,,,./0.png
14.901151122131,45.4370916227543,PH,75mm,,,,,,,,,,./0.png
14.901607828813,45.4376908692008,PH,75mm,,,,,,,,,,./0.png
14.9029121143276,45.4373808932601,PH,75mm,,,,,,,,,,./0.png
14.9052725303905,45.4355847671202,PH,75mm,,,,,,,,,,./0.png
14.94083322647,45.4485309183234,PH,75mm,,,,,,,,,,./0.png
14.9282234860173,45.4461849157324,PH,75mm,,,,,,,,,,./0.png
14.9355595110224,45.4476855928694,PH,75mm,,,,,,,,,,./0.png
14.9450081924226,45.4428623256169,PH,75mm,,,,,,,,,,./0.png
14.9371779373185,45.4434300064002,PH,75mm,,,,,,,,,,./0.png
14.9422128467105,45.4427136873077,PH,75mm,,,,,,,,,,./0.png
14.9238469204905,45.4353766130329,PH,75mm,,,,,,,,,,./0.png
14.9225440640991,45.4350437838147,PH,75mm,,,,,,,,,,./0.png
14.7133601140962,45.3042642047052,PH,75mm,,,,,,,,,,./0.png
14.8532369293335,45.3159346324218,PH,75mm,,,,,,,,,,./0.png
14.854302613175,45.316231753291,PH,75mm,,,,,,,,,,./0.png
14.8561401248124,45.3180057279511,PH,75mm,,,,,,,,,,./0.png
14.8574757670087,45.3196861060994,PH,75mm,,,,,,,,,,./0.png
14.8570575116099,45.3210253069336,PH,75mm,,,,,,,,,,./0.png
14.8566035527702,45.3222483773053,PH,75mm,,,,,,,,,,./0.png
14.8561199423304,45.3234862551749,PH,75mm,,,,,,,,,,./0.png
14.855221915902,45.3254078619183,PH,75mm,,,,,,,,,,./0.png
14.8541916290187,45.3270403422585,PH,75mm,,,,,,,,,,./0.png
14.8536655680727,45.315454273894,PH,75mm,,,,,,,,,,./0.png
14.8543642807482,45.3143499455465,PH,75mm,,,,,,,,,,./0.png
14.8496408864637,45.3174999159912,PH,75mm,,,,,,,,,,./0.png
14.8487583973791,45.3164658458329,PH,75mm,,,,,,,,,,./0.png
14.8197062786106,45.3258597284169,PH,75mm,,,,,,,,,,./0.png
14.8190882187323,45.3249650626112,PH,75mm,,,,,,,,,,./0.png
14.94063946572,45.3803924959244,PH,75mm,,,,,,,,,,./0.png
14.9409620672187,45.3798329544464,PH,75mm,,,,,,,,,,./0.png
14.941595128675,45.3797823844112,PH,75mm,,,,,,,,,,./0.png
14.9400222509008,45.379012489442,PH,75mm,,,,,,,,,,./0.png
14.9416777582429,45.3783225786636,PH,75mm,,,,,,,,,,./0.png
14.9422981858848,45.3791869966572,PH,75mm,,,,,,,,,,./0.png
14.942238261834,45.3766733013904,PH,75mm,,,,,,,,,,./0.png
14.9408428202166,45.3755916940741,PH,75mm,,,,,,,,,,./0.png
14.9380320934876,45.3737329412966,PH,75mm,,,,,,,,,,./0.png
14.935971628445,45.3733878057075,PH,75mm,,,,,,,,,,./0.png
14.9320986318519,45.373190085294,PH,75mm,,,,,,,,,,./0.png
14.9320414578534,45.3730737572787,PH,75mm,,,,,,,,,,./0.png
14.9334030119731,45.3729238992144,PH,75mm,,,,,,,,,,./0.png
14.9386250203232,45.3736340812381,PH,75mm,,,,,,,,,,./0.png
14.9390373424359,45.372022900834,PH,75mm,,,,,,,,,,./0.png
14.9372551555158,45.3705179729018,PH,75mm,,,,,,,,,,./0.png
14.9369352212255,45.3724410207291,PH,75mm,,,,,,,,,,./0.png
14.9403372318641,45.3688572130931,PH,75mm,,,,,,,,,,./0.png
14.9397006404502,45.3698671539979,PH,75mm,,,,,,,,,,./0.png
14.941953996139,45.3712409736929,PH,75mm,,,,,,,,,,./0.png
14.9405513336107,45.3708914857348,PH,75mm,,,,,,,,,,./0.png
14.9399612507171,45.3709101519532,PH,75mm,,,,,,,,,,./0.png
14.9393328437371,45.3739044232995,PH,75mm,,,,,,,,,,./0.png
14.9413250520088,45.3744768628433,PH,75mm,,,,,,,,,,./0.png
14.9453437264584,45.3748466883293,PH,75mm,,,,,,,,,,./0.png
14.9473356542023,45.3749803338131,PH,75mm,,,,,,,,,,./0.png
14.9494634986117,45.374926952368,PH,75mm,,,,,,,,,,./0.png
14.9618816666204,45.3744281366803,PH,75mm,,,,,,,,,,./0.png
14.9512680824765,45.3747332688519,PH,75mm,,,,,,,,,,./0.png
14.9558418539735,45.3756893161673,PH,75mm,,,,,,,,,,./0.png
14.9590309408869,45.3759831882025,PH,75mm,,,,,,,,,,./0.png
14.9572936465399,45.3762324194383,PH,75mm,,,,,,,,,,./0.png
14.9316039118507,45.3696476212489,PH,75mm,,,,,,,,,,./0.png
14.7228815427118,45.2956550209523,PH,75mm,,,,,,,,,,./0.png
14.722143498668,45.2932664089003,PH,75mm,,,,,,,,,,./0.png
14.7229217054221,45.2944056282726,PH,75mm,,,,,,,,,,./0.png
14.7225928121551,45.2925119720935,PH,75mm,,,,,,,,,,./0.png
14.7194815536083,45.2909981590888,PH,75mm,,,,,,,,,,./0.png
14.721108507533,45.2911686601659,PH,75mm,,,,,,,,,,./0.png
14.7225376286151,45.291360706162,PH,75mm,,,,,,,,,,./0.png
14.72291965506,45.2912557591239,PH,75mm,,,,,,,,,,./0.png
14.723199918469,45.2872081060711,PH,75mm,,,,,,,,,,./0.png
14.7231294819148,45.2884887356636,PH,75mm,,,,,,,,,,./0.png
14.7229911511229,45.2899135541879,PH,75mm,,,,,,,,,,./0.png
14.7201462786554,45.288626654036,PH,75mm,,,,,,,,,,./0.png
14.7217878501419,45.2880448581593,PH,75mm,,,,,,,,,,./0.png
14.7228468178755,45.2869940072597,PH,75mm,,,,,,,,,,./0.png
14.7236210813918,45.2861626916494,PH,75mm,,,,,,,,,,./0.png
14.724226792581,45.2857101818017,PH,75mm,,,,,,,,,,./0.png
14.7254598840343,45.2851570654132,PH,75mm,,,,,,,,,,./0.png
14.7334485709137,45.2907256477993,PH,75mm,,,,,,,,,,./0.png
14.7357423497968,45.2914667818689,PH,75mm,,,,,,,,,,./0.png
14.7350808956088,45.2901231392882,PH,75mm,,,,,,,,,,./0.png
14.733925176654,45.2890426363099,PH,75mm,,,,,,,,,,./0.png
14.7327603569564,45.2885262798059,PH,75mm,,,,,,,,,,./0.png
14.7309246501951,45.2875775834882,PH,75mm,,,,,,,,,,./0.png
14.7271213272937,45.2848687962573,PH,75mm,,,,,,,,,,./0.png
14.7289851424134,45.2849953260529,PH,75mm,,,,,,,,,,./0.png
14.7303637708796,45.2842754839749,PH,75mm,,,,,,,,,,./0.png
14.7319790764681,45.2836562653166,PH,75mm,,,,,,,,,,./0.png
14.7335636842297,45.2831702442111,PH,75mm,,,,,,,,,,./0.png
14.7347973221408,45.2824421799913,PH,75mm,,,,,,,,,,./0.png
14.7346376522364,45.2838186882732,PH,75mm,,,,,,,,,,./0.png
14.7345370781485,45.2842114924573,PH,75mm,,,,,,,,,,./0.png
14.7354596438978,45.2839747658898,PH,75mm,,,,,,,,,,./0.png
14.7358009797805,45.2840461238875,PH,75mm,,,,,,,,,,./0.png
14.7371531320636,45.2843669080142,PH,75mm,,,,,,,,,,./0.png
14.7379226932717,45.2836727489679,PH,75mm,,,,,,,,,,./0.png
14.7356111183715,45.2835701420361,PH,75mm,,,,,,,,,,./0.png
14.7255738069336,45.2841662201424,PH,75mm,,,,,,,,,,./0.png
14.7255199706671,45.2828961084859,PH,75mm,,,,,,,,,,./0.png
14.7252386380494,45.2817779370156,PH,75mm,,,,,,,,,,./0.png
14.72507909655,45.2809232914497,PH,75mm,,,,,,,,,,./0.png
14.7231421587111,45.2837319747246,PH,75mm,,,,,,,,,,./0.png
14.7223549021665,45.283429679044,PH,75mm,,,,,,,,,,./0.png
14.7236091856242,45.2847026981679,PH,75mm,,,,,,,,,,./0.png
14.7228783433224,45.2826042288803,PH,75mm,,,,,,,,,,./0.png
